Engineering_Branch,Student_Status,CGPA,Python_Proficiency,CPP_Proficiency,Java_Proficiency,MATLAB_Proficiency,DSA_Understanding,Database_SQL_Understanding,OOP_Understanding,OS_Understanding,Technical_Tools,Project_Count,Project_Domain,Internship_Experience,Preparation_Domain,Confidence_Level,Job_Role
CSE,Alumni (Graduated),8.07,5,4,2,3,3,4,5,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Consulting / Management,3.0,Machine Learning Engineer
Electrical,4th year student,7.38,3,2,2,3,4,4,4,2,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,No internship,Software Development,2.0,Data Analyst
CSE,Alumni (Graduated),8.09,4,3,4,3,5,4,5,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Software Development,Software Development Internship,Software Development,3.0,Software Developer
CSE,Alumni (Graduated),7.56,5,3,2,2,3,5,3,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Data Analyst
AI,4th year student,5.48,4,3,3,2,2,3,3,5,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,3-4,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
Chemical,Alumni (Graduated),7.46,1,1,1,4,1,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools,3-4,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Manufacturing Engineer
Electrical,Alumni (Graduated),6.51,3,4,3,4,4,2,3,3,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Software Development,4.0,Embedded Systems Engineer
ECE,Alumni (Graduated),7.71,4,4,5,2,4,3,4,4,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,5+,Software Development,Software Development Internship,Software Development,4.0,Software Developer
AI,4th year student,6.01,3,3,1,2,4,5,3,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
ECE,Alumni (Graduated),7.98,5,3,2,2,4,5,4,2,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Consulting / Management,3.0,Data Scientist
AI,Alumni (Graduated),8.63,4,2,2,4,5,4,3,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
CSE,4th year student,8.52,3,4,4,1,5,3,4,4,Circuit design tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,3-4,Software Development,Software Development Internship,Software Development,3.0,Software Developer
CSE,4th year student,7.74,2,3,2,3,4,3,3,4,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
AI,Alumni (Graduated),9.22,5,3,3,5,4,4,5,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Embedded Systems / Electronics,3.0,Machine Learning Engineer
CSE,Alumni (Graduated),9.16,5,2,4,2,3,4,2,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Software Development,Software Development Internship,Software Development,2.0,DevOps Engineer
Civil,Alumni (Graduated),8.58,2,2,2,4,2,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,1-2,Core Engineering,Core Engineering Internship,Core Engineering,5.0,Mechanical Design Engineer
Metallurgy,Alumni (Graduated),8.22,2,3,1,3,2,1,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),3-4,Mixed domains,No internship,Core Engineering,3.0,Manufacturing Engineer
AI,4th year student,6.48,3,3,2,2,5,4,5,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,3-4,Software Development,Software Development Internship,Software Development,5.0,Software Developer
AI,Alumni (Graduated),8.03,3,3,5,1,5,4,4,3,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Software Development,Software Development Internship,Software Development,2.0,Software Developer
Civil,4th year student,8.43,2,2,1,3,1,2,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,1-2,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Mechanical Design Engineer
AI,4th year student,7.83,4,3,3,3,3,3,5,3,Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Robotics / Embedded Systems,No internship,Data Science / AI,4.0,Data Scientist
CSE,4th year student,8.2,4,4,2,2,5,4,3,1,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Scientist
ECE,4th year student,8.17,5,4,2,4,3,4,4,4,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,,Machine Learning Engineer
CSE,Alumni (Graduated),6.58,3,3,1,2,2,5,3,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),0,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
Electrical,Alumni (Graduated),6.96,2,3,2,3,4,1,4,4,Circuit design tools; Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,No internship,Embedded Systems / Electronics,2.0,Embedded Systems Engineer
Mechanical,Alumni (Graduated),7.18,1,1,2,3,3,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Data Science / AI,Core Engineering Internship,Core Engineering,4.0,Mechanical Design Engineer
CSE,Alumni (Graduated),8.31,3,4,3,2,5,4,5,3,Data Analysis (Python / Excel / Pandas),3-4,Mixed domains,Software Development Internship,Software Development,4.0,Software Developer
AI,Alumni (Graduated),8.32,4,1,3,4,5,5,2,4,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
Metallurgy,Alumni (Graduated),7.69,3,3,1,3,1,3,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Mixed domains,Core Engineering Internship,Core Engineering,5.0,Mechanical Design Engineer
Mechanical,Alumni (Graduated),6.9,1,2,1,2,2,1,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,3-4,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Manufacturing Engineer
Metallurgy,4th year student,7.57,2,2,1,2,1,1,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,3-4,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Manufacturing Engineer
ECE,4th year student,7.73,4,2,2,2,3,4,2,4,Data Analysis (Python / Excel / Pandas),1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,2.0,Data Analyst
ECE,Alumni (Graduated),6.24,3,3,1,1,3,5,4,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
Civil,Alumni (Graduated),7.36,1,2,1,3,1,3,2,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
AI,4th year student,7.82,3,3,3,3,5,3,4,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,3-4,Software Development,Software Development Internship,Software Development,5.0,Software Developer
CSE,4th year student,6.73,3,5,3,2,3,5,4,4,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Software Development,Software Development Internship,Software Development,4.0,Software Developer
ECE,4th year student,7.55,2,5,1,3,4,1,2,4,ANSYS / Simulation tools; Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,1-2,Robotics / Embedded Systems,No internship,Core Engineering,5.0,Embedded Systems Engineer
CSE,Alumni (Graduated),8.5,3,4,3,4,2,2,1,3,Circuit design tools; MATLAB / Simulink,5+,Robotics / Embedded Systems,No internship,Embedded Systems / Electronics,2.0,Embedded Systems Engineer
ECE,4th year student,7.85,4,3,5,2,4,3,4,4,Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,4.0,Software Developer
ECE,4th year student,7.11,4,2,4,3,2,4,4,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,2.0,Data Analyst
Metallurgy,Alumni (Graduated),5.71,2,3,1,3,1,2,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Manufacturing Engineer
CSE,Alumni (Graduated),8.31,4,3,4,2,5,5,2,4,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Core Engineering,4.0,DevOps Engineer
Mechanical,Alumni (Graduated),7.98,1,2,2,4,1,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,1-2,Software Development,Core Engineering Internship,Core Engineering,4.0,Mechanical Design Engineer
CSE,4th year student,7.59,3,2,2,4,4,4,3,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
Civil,4th year student,8.63,3,4,4,2,4,4,4,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas),1-2,Software Development,Software Development Internship,Software Development,5.0,Software Developer
AI,Alumni (Graduated),7.82,4,4,1,3,3,4,2,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
AI,4th year student,7.46,4,4,3,1,1,4,2,1,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
AI,4th year student,6.46,3,3,1,3,1,5,2,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
Metallurgy,4th year student,5.85,2,3,2,3,1,2,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),1-2,Core Engineering,Core Engineering Internship,Embedded Systems / Electronics,3.0,Manufacturing Engineer
CSE,4th year student,6.91,2,4,3,5,3,2,4,4,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,3.0,Embedded Systems Engineer
AI,4th year student,9.07,3,4,4,2,4,5,5,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Software Development,No internship,Software Development,4.0,Software Developer
Electrical,Alumni (Graduated),5.94,3,4,1,1,3,5,3,5,Data Analysis (Python / Excel / Pandas),3-4,Core Engineering,Software Development Internship,Software Development,4.0,DevOps Engineer
Mechanical,4th year student,6.66,1,2,2,3,1,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools,3-4,Mixed domains,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
AI,Alumni (Graduated),8.61,3,4,5,1,5,3,4,3,Data Analysis (Python / Excel / Pandas),1-2,Software Development,Software Development Internship,Core Engineering,4.0,Software Developer
AI,4th year student,6.92,3,1,1,4,3,5,2,1,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
Electrical,4th year student,6.52,4,3,3,2,2,4,2,2,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,2.0,Data Analyst
ECE,Alumni (Graduated),8.13,5,5,3,4,4,4,3,4,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Machine Learning Engineer
Mechanical,Alumni (Graduated),7.45,1,1,2,2,2,1,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools,1-2,Software Development,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Metallurgy,Alumni (Graduated),8.2,3,1,2,4,2,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,3-4,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
CSE,Alumni (Graduated),8.33,4,5,5,2,4,3,4,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Mixed domains,Software Development Internship,Software Development,3.0,Software Developer
CSE,4th year student,8.04,5,1,1,3,2,4,4,1,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
ECE,Alumni (Graduated),8.13,3,4,2,3,3,3,3,5,ANSYS / Simulation tools; Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Consulting / Management,4.0,Embedded Systems Engineer
CSE,4th year student,7.69,5,2,2,3,3,5,4,2,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Data Scientist
AI,4th year student,7.73,3,5,4,2,3,4,5,5,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,3-4,Data Science / AI,No internship,Core Engineering,5.0,Software Developer
Metallurgy,Alumni (Graduated),7.28,1,3,2,2,2,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools,1-2,Software Development,Core Engineering Internship,Core Engineering,5.0,Manufacturing Engineer
Mechanical,4th year student,7.48,2,2,1,1,2,1,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),1-2,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Manufacturing Engineer
Electrical,Alumni (Graduated),9.1,5,2,2,4,4,4,3,2,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
Civil,Alumni (Graduated),7.5,1,3,2,3,2,3,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,1-2,Core Engineering,No internship,Core Engineering,4.0,Mechanical Design Engineer
Chemical,4th year student,5.47,2,2,1,2,3,2,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Embedded systems / microcontrollers; Machine Learning / Deep Learning,5+,Mixed domains,Core Engineering Internship,Core Engineering,2.0,Manufacturing Engineer
Chemical,4th year student,7.48,3,2,2,3,3,2,1,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),1-2,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Manufacturing Engineer
Civil,Alumni (Graduated),7.19,2,2,2,3,1,2,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Civil Engineer
CSE,4th year student,6.94,4,3,3,2,3,3,3,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas),1-2,Software Development,No internship,Software Development,3.0,DevOps Engineer
Electrical,Alumni (Graduated),7.39,3,3,2,5,4,2,3,4,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink,5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
Metallurgy,Alumni (Graduated),6.96,2,2,2,4,1,1,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,5+,Core Engineering,Software Development Internship,Core Engineering,4.0,Mechanical Design Engineer
Mechanical,Alumni (Graduated),7.05,1,2,1,3,3,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,0,Core Engineering,Electronics / Embedded Internship,Core Engineering,3.0,Civil Engineer
CSE,4th year student,7.31,4,3,1,3,2,4,1,2,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,3-4,Mixed domains,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
Civil,Alumni (Graduated),6.68,1,2,2,2,2,1,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Civil,Alumni (Graduated),9.23,2,2,2,5,2,1,3,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,3-4,Core Engineering,Core Engineering Internship,Data Science / AI,2.0,Mechanical Design Engineer
ECE,Alumni (Graduated),8.76,2,4,4,2,5,4,3,3,Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,5.0,Software Developer
CSE,4th year student,8.71,3,4,1,3,2,3,2,5,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,No internship,Core Engineering,3.0,Embedded Systems Engineer
Civil,Alumni (Graduated),7.73,3,3,4,1,4,3,5,3,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,1-2,Software Development,Software Development Internship,Software Development,4.0,Software Developer
ECE,4th year student,6.93,1,1,1,3,1,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers; Machine Learning / Deep Learning,3-4,Core Engineering,Core Engineering Internship,Data Science / AI,3.0,Civil Engineer
ECE,4th year student,6.41,3,5,3,2,4,2,4,4,Circuit design tools; Data Analysis (Python / Excel / Pandas),1-2,Software Development,Software Development Internship,Consulting / Management,2.0,Software Developer
CSE,4th year student,6.75,4,3,3,3,4,5,3,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
CSE,4th year student,7.7,5,4,4,1,4,4,5,3,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,3-4,Software Development,Software Development Internship,Software Development,3.0,Software Developer
Metallurgy,Alumni (Graduated),7.14,2,3,3,5,2,2,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,0,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
CSE,4th year student,7.29,2,4,5,2,4,2,4,2,Circuit design tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,3-4,Mixed domains,Software Development Internship,Software Development,3.0,Software Developer
CSE,Alumni (Graduated),7.5,3,3,2,3,2,4,3,3,ANSYS / Simulation tools; Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
Mechanical,Alumni (Graduated),7.95,2,1,1,1,2,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools,1-2,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Civil Engineer
ECE,4th year student,8.36,3,2,3,2,2,4,4,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Embedded Systems / Electronics,4.0,Data Analyst
ECE,4th year student,6.81,4,5,2,3,2,1,2,5,Circuit design tools; Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,5+,Robotics / Embedded Systems,No internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
CSE,Alumni (Graduated),9.31,5,3,1,2,3,4,3,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,2.0,Machine Learning Engineer
ECE,4th year student,7.34,3,4,5,3,4,3,3,5,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Data Science / AI,3.0,Software Developer
AI,Alumni (Graduated),7.6,2,4,4,1,4,3,4,4,Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,4.0,Software Developer
Metallurgy,4th year student,7.68,2,2,2,4,2,3,2,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,0,Core Engineering,Core Engineering Internship,Embedded Systems / Electronics,3.0,Mechanical Design Engineer
ECE,Alumni (Graduated),8.9,5,4,3,3,4,3,3,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Machine Learning Engineer
ECE,Alumni (Graduated),7.74,4,4,3,2,4,4,3,3,Data Analysis (Python / Excel / Pandas),3-4,Software Development,Electronics / Embedded Internship,Software Development,4.0,Software Developer
AI,Alumni (Graduated),8.4,5,4,2,3,4,4,2,2,Circuit design tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,1-2,Data Science / AI,No internship,Consulting / Management,5.0,Machine Learning Engineer
AI,4th year student,8.39,4,4,4,3,3,3,4,2,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Data Science / AI,No internship,Data Science / AI,5.0,Machine Learning Engineer
AI,4th year student,7.45,3,4,4,1,5,3,4,4,Circuit design tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,3-4,Software Development,Software Development Internship,Software Development,4.0,Software Developer
Mechanical,4th year student,7.17,2,1,1,4,2,1,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),1-2,Core Engineering,No internship,Core Engineering,3.0,Civil Engineer
Mechanical,Alumni (Graduated),7.19,2,1,1,3,1,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Core Engineering,No internship,Core Engineering,1.0,Civil Engineer
Electrical,4th year student,7.7,3,4,2,3,3,4,1,3,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Data Analyst
Electrical,4th year student,7.8,3,1,3,2,3,4,3,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Data Science / AI,Data Science / AI Internship,Embedded Systems / Electronics,2.0,Data Analyst
Chemical,4th year student,6.58,1,3,1,2,3,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Manufacturing Engineer
Mechanical,Alumni (Graduated),6.85,1,1,1,4,1,2,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),5+,Core Engineering,Core Engineering Internship,Core Engineering,1.0,Civil Engineer
AI,4th year student,7.21,3,5,3,2,5,5,3,3,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,3-4,Software Development,Software Development Internship,Software Development,4.0,Software Developer
CSE,Alumni (Graduated),8.29,2,2,4,1,1,2,2,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink,5+,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
AI,4th year student,7.53,5,3,2,4,4,3,4,5,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,No internship,Consulting / Management,3.0,Data Scientist
AI,Alumni (Graduated),7.66,5,3,2,3,3,3,4,4,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Data Scientist
AI,Alumni (Graduated),7.96,2,4,5,2,4,4,3,3,Data Analysis (Python / Excel / Pandas),5+,Data Science / AI,Software Development Internship,Software Development,3.0,Software Developer
Metallurgy,Alumni (Graduated),7.05,1,1,1,3,2,2,3,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Mechanical Design Engineer
Civil,4th year student,6.87,1,1,1,2,2,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Machine Learning / Deep Learning,3-4,Core Engineering,No internship,Core Engineering,3.0,Civil Engineer
AI,4th year student,8.7,5,2,3,4,3,5,4,3,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Scientist
